from,subject,body,label
alerts@google.com,Storage Almost Full,You’re reaching your Google Drive storage limit...,0
support@amazon.com,Your Order Has Been Shipped,Your order #123456 has been shipped...,0
update@netflix.com,Account Suspended Action Required,We've noticed suspicious activity on your Netflix account.,1
it-support@university.edu,Password Expiry Notice,Your university password will expire in 2 days. Update now.,0
noreply@paypal.com,Unusual Login Attempt,We detected a login attempt from an unknown device. Confirm your identity.,1
security@yourbank.com,Account Locked,Your bank account has been temporarily locked. Click to unlock.,1
care@jio.com,Data Usage Alert,You’ve used 90% of your daily data. Speed will reduce after 1.5GB.,0
noreply@zomato.com,Your Order is Out for Delivery,Your order will reach you shortly. Track it live.,0
info@flipkart.com,Order Confirmation,Thanks for shopping with us. Your order ID is 987654.,0
security@randomsite.com,Reset Your Password,Your password has been reset. Contact support if this wasn’t you.,1
account@apple.com,Sign-in Attempt,A new login was detected on your Apple ID.,1
delivery@swiggy.com,Enjoy Your Meal!,Your food is on the way. Track it in the app.,0
newsletter@linkedin.com,See Who Viewed Your Profile,Your profile was viewed 5 times this week.,0
noreply@instagram.com,Suspicious Login,We've detected an unusual login. Check now.,1
offers@airasia.com,Flat 30% Off on Flights,Book your next trip with a discount. Limited time only!,0
billing@hotstar.com,Payment Failed,Your last payment could not be processed. Retry now.,1
connect@ola.com,Your Ride is Confirmed,Your driver will arrive at your pickup location shortly.,0
info@byjus.com,New Course Alert,Check out our latest NEET & JEE preparation courses.,0
message@microsoft.com,Outlook Account Verification,Click below to verify your account.,1
notice@icicibank.com,Credit Card Bill Due,Your payment is due on 5th Aug. Avoid late fee.,0
noreply@youtube.com,New Login Notification,Someone signed in to your YouTube account.,1
sales@meesho.com,Order Placed Successfully,Your Meesho order has been successfully placed.,0
notify@cred.com,Payment Reminder,Your credit card payment is due in 3 days.,0
admin@quora.com,New Answer to Your Question,Someone answered your question on Quora.,0
no-reply@dropbox.com,Suspicious Activity Detected,We noticed something unusual in your Dropbox login.,1
alerts@hdfcbank.com,Transaction Alert,"₹5,000 debited from your account ending 1234.",0
verify@amazn-secure.com,Confirm Account Now,Amazon requires immediate confirmation of your account.,1
support@mygov.in,Vaccination Certificate,Your certificate is ready. Download from the link.,0
mail@dominos.in,Your Pizza is Baking,Your order will reach you in 30 minutes.,0
info@timesofindia.com,Morning Briefing,Here's your daily dose of top news.,0
team@swiggy.com,Rate Your Order,Let us know how your last meal was.,0
fake@paypal-alert.com,Urgent: Account Verification Needed,Your account will be suspended. Verify now!,1
support@credsecure.com,Payment Failed,Your recent credit card payment failed. Click here.,1
jobs@internshala.com,New Internship Matches,We found internships you may like.,0
info@zara.com,Limited Time Sale,Get flat 40% off across stores and online.,0
support@aadhar.gov.in,Update Your Aadhaar,Keep your Aadhaar details up-to-date.,0
secure@facebook-mail.com,New Device Login,A login from a new device was detected.,1
noreply@nykaa.com,Your Order has Shipped,Track your beauty order with the link below.,0
billing@primevideo.com,Subscription Renewal Failed,Update payment info to continue your service.,1
